"Country (or dependent territory, subnational area, etc.)",Region,People killed bysecurity forces,Breakdown,Breakdown,Breakdown,Breakdown,Population,Rate per 10 million people,Year listed,Notes,Source
Argentina,Americas,95,,,,,"44,270,000",21.6,2019,,[42]
Egypt,Africa,212,,,,,"97,550,000",21.2,2018,Counted using graph,[43]
Malta,Europe,1,0,1,0,0,"493,559",20.0,2019,,[44]
Luxembourg,Europe,1,1,0,0,0,"590,321",16.9,2018,,[45]
India,Asia,"1,731",125,,,1606,"1,380,000,000",12.54,2019,"""Other"" lists killings while in judicial custody.  Official numbers are considerably lower. Official 2018 statistics show only 46 deaths in police custody and 24 deaths of people in police/judicial remand and an additional 21 civilian killed during police operations for a total of 91 nationally.  See Table 16A and 16B.4 of Official Govt. of India publication: Crime in India 2018",[46][47]
Canada,Americas,36,,,,,"37,060,000",9.7,2017,See also: List of killings by law enforcement officers in Canada,[48]
Belgium,Europe,5,5,,,,"11,589,623",4.3,2021,,[49][50][51][52][53][54][55][56][57]
France,Europe,26,26,,,,"67,392,000",3.8,2018,,[58]
Indonesia,Asia,77+,,,,,"264,000,000",2.9,2018,"As of August 17, 2018",[59]
Netherlands,Europe,5,5,0,0,0,"17,440,000",2.7,2020,,[60]
New Zealand,Oceania,1,1,0,0,0,"4,794,000",2.1,2018,One additional death ruled  inconclusive,[61]
Norway,Europe,1,1,0,0,0,"5,258,000",1.9,2016,,[62]
Finland,Europe,1,1,0,0,0,"5,503,000",1.8,2018,,[63]
Nepal,Asia,5+,5,0,0,0,"29,300,000",1.7,2019,,[64]
Australia,Oceania,4,0,0,0,0,"24,600,000",1.7,2016/7,,[65]
Germany,Europe,11,11,0,0,0,"82,887,000",1.3,2018,See also: List of killings by law enforcement officers in Germany,[66]
Hong Kong,Asia,1,1,0,0,0,"7,392,000",1.3,2019,See also: List of killings by law enforcement officers in China,[67]
Portugal,Europe,1,1,0,0,0,"10,290,000",1.0,2018,,[68]
Sweden,Europe,1,1,0,0,0,"10,327,589",1.0,2019,,[69]
Taiwan,Asia,2,2,0,0,0,"23,580,000",0.8,2018,,[70]
United Kingdom,Europe,3,3,0,0,0,"66,040,229",0.5,2019,Fatal shootings. See also: List of killings by law enforcement officers in the United Kingdom,[71]
Poland,Europe,2,2,0,0,0,"38,433,600",0.5,2020,See also: List of killings by law enforcement officers in Poland,[72][73]
Japan,Asia,2,2,0,0,0,"127,185,332",0.2,2018,,[74][75]
Denmark,Europe,0,0,0,0,0,"5,805,000",0,2019,,[76]
Iceland,Europe,0,0,0,0,0,"350,000",0,2016,2013 was the only year in which police killed anybody,[77]
Switzerland,Europe,0,-,-,-,-,"8,420,000",0,2018,,[78]
